Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s)
11260.00,0.00,0.00,-0.02,0.00,0.00,-1.05,0.00,0.00,-61.78,-0.00,0.00,-0.00,-0.00,0.00,-0.00
11275.00,0.00,0.00,0.06,0.00,0.00,5.33,0.00,0.00,425.18,-0.00,0.00,0.00,0.00,-0.00,0.00
11281.00,0.00,0.00,-0.06,0.00,0.00,-20.18,0.00,0.00,-4250.52,-0.00,0.00,0.00,0.00,-0.00,0.00
11289.00,0.00,0.00,-0.04,0.00,0.00,1.84,0.00,0.00,2752.56,-0.00,0.00,0.00,0.00,0.00,-0.00
11297.00,0.00,0.00,0.04,0.00,0.00,10.26,0.00,0.00,1052.14,-0.00,0.00,0.00,0.00,-0.00,0.00
11302.00,0.00,0.00,-0.06,0.00,0.00,-19.30,0.00,0.00,-5911.42,-0.00,-0.00,0.00,0.00,-0.00,0.00
11310.00,0.00,0.00,0.08,0.00,0.00,16.77,0.00,0.00,4508.33,-0.00,-0.00,0.00,-0.00,-0.00,0.00
11318.00,0.00,0.00,0.03,0.00,0.00,-5.09,0.00,0.00,-2733.13,-0.00,-0.00,0.00,0.00,0.00,-0.00
11325.00,0.00,0.00,0.05,0.00,0.00,2.20,0.00,0.00,1042.21,-0.00,-0.00,0.00,0.00,0.00,-0.00
11330.00,0.00,0.00,0.01,0.00,0.00,-9.04,0.00,0.00,-2248.51,-0.00,-0.00,-0.00,0.00,0.00,-0.00
11339.00,0.00,0.00,0.03,0.00,0.00,2.27,0.00,0.00,1256.42,-0.00,0.00,0.00,0.00,0.00,0.00
11352.00,0.00,0.00,0.02,0.00,0.00,-0.34,0.00,0.00,-200.50,-0.00,-0.00,0.00,0.00,-0.01,0.00
11369.00,0.00,0.00,-0.04,0.00,0.00,-3.39,0.00,0.00,-179.67,0.00,-0.00,0.00,0.00,-0.00,0.00
11378.00,0.00,0.00,-0.02,0.00,0.00,2.25,0.00,0.00,626.98,0.00,-0.00,-0.00,0.00,0.00,-0.00
11385.00,0.00,0.00,0.05,0.00,0.00,9.85,0.00,0.00,1085.20,0.00,-0.00,-0.00,0.00,0.00,-0.00
11391.00,0.00,0.00,0.11,0.00,0.00,10.20,0.00,0.00,59.25,0.00,-0.00,-0.00,0.00,0.00,-0.00
11399.00,0.00,0.00,-0.00,0.00,0.00,-14.49,0.00,0.00,-3086.67,0.00,-0.00,-0.00,0.00,0.00,0.00
11405.00,0.00,0.00,0.02,0.00,0.00,3.70,0.00,0.00,3032.54,0.00,-0.00,-0.00,0.00,0.00,0.00
11410.00,0.00,0.00,0.04,0.00,0.00,4.38,0.00,0.00,134.99,0.00,-0.00,-0.00,-0.00,-0.00,0.00
11419.00,0.00,0.00,0.06,0.00,0.00,2.48,0.00,0.00,-210.96,0.00,-0.00,-0.00,-0.00,-0.00,0.00
