Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s), execution_time
11179.00,0.00,0.00,-0.03,0.00,0.00,-2.79,0.00,0.00,-309.91,-0.00,0.00,0.00,-0.00,0.00,0.00,5.00
11190.00,0.00,0.00,0.03,0.00,0.00,4.78,0.00,0.00,687.94,0.00,0.00,0.00,0.00,0.00,0.00,19.00
11209.00,0.00,0.00,-0.08,0.00,0.00,-5.40,0.00,0.00,-535.45,0.00,0.00,-0.00,0.00,0.00,-0.00,8.00
11217.00,0.00,0.00,0.01,0.00,0.00,10.12,0.00,0.00,1939.18,0.00,0.00,-0.00,-0.00,-0.00,-0.00,7.00
11224.00,0.00,0.00,0.02,0.00,0.00,2.19,0.00,0.00,-1133.26,0.00,0.00,-0.00,-0.00,0.00,-0.00,6.00
11230.00,0.00,0.00,0.10,0.00,0.00,13.21,0.00,0.00,1837.13,0.00,0.00,-0.00,0.00,0.00,-0.00,6.00
11236.00,0.00,0.00,0.05,0.00,0.00,-8.83,0.00,0.00,-3672.68,-0.00,0.00,-0.00,-0.00,0.00,0.00,5.00
11241.00,0.00,0.00,0.01,0.00,0.00,-7.40,0.00,0.00,286.13,-0.00,0.00,-0.00,-0.00,0.00,0.00,7.00
11248.00,0.00,0.00,-0.01,0.00,0.00,-2.24,0.00,0.00,737.20,-0.00,0.00,-0.00,-0.00,0.00,-0.00,9.00
11257.00,0.00,0.00,0.07,0.00,0.00,8.21,0.00,0.00,1160.61,0.00,0.00,-0.00,0.00,0.00,0.00,6.00
11263.00,0.00,0.00,-0.02,0.00,0.00,-15.30,0.00,0.00,-3917.85,0.00,0.00,-0.00,0.00,-0.00,-0.00,7.00
11275.00,0.00,0.00,0.04,0.00,0.00,5.31,0.00,0.00,1717.77,0.00,0.00,-0.00,0.00,0.00,-0.00,7.00
11282.00,0.00,0.00,0.10,0.00,0.00,8.84,0.00,0.00,504.14,0.00,0.00,-0.00,0.00,0.00,-0.00,7.00
11289.00,0.00,0.00,0.03,0.00,0.00,-10.85,0.00,0.00,-2812.78,0.00,0.00,-0.00,-0.00,0.00,-0.00,18.00
11307.00,0.00,0.00,-0.00,0.00,0.00,-1.61,0.00,0.00,512.91,0.00,0.00,-0.00,-0.00,0.00,-0.00,7.00
11314.00,0.00,0.00,0.05,0.00,0.00,7.74,0.00,0.00,1336.93,0.00,0.00,-0.00,-0.00,0.00,-0.00,6.00
11320.00,0.00,0.00,0.00,0.00,0.00,-8.00,0.00,0.00,-2623.43,0.00,0.00,-0.00,0.00,0.00,-0.00,8.00
11328.00,0.00,0.00,-0.02,0.00,0.00,-3.17,0.00,0.00,602.74,0.00,0.00,-0.00,-0.00,-0.00,0.00,6.00
11334.00,0.00,0.00,0.03,0.00,0.00,7.76,0.00,0.00,1822.89,0.00,0.00,-0.00,0.00,0.00,0.00,6.00
11340.00,0.00,0.00,-0.01,0.00,0.00,-5.64,0.00,0.00,-2233.90,0.00,0.00,-0.00,0.00,0.00,0.00,8.00
11348.00,0.00,0.00,-0.05,0.00,0.00,-5.35,0.00,0.00,35.72,0.00,0.00,-0.00,-0.00,-0.00,0.00,8.00
11360.00,0.00,0.00,-0.01,0.00,0.00,3.84,0.00,0.00,766.24,0.00,0.00,-0.00,-0.00,0.00,-0.00,9.00
11369.00,0.00,0.00,-0.01,0.00,0.00,-0.40,0.00,0.00,-471.47,0.00,0.00,-0.00,-0.00,0.00,-0.00,9.00
11378.00,0.00,0.00,0.01,0.00,0.00,2.45,0.00,0.00,316.67,0.00,0.00,-0.00,0.00,-0.00,0.00,5.00
11383.00,0.00,0.00,0.10,0.00,0.00,18.03,0.00,0.00,3116.07,0.00,0.00,-0.00,0.00,0.00,0.00,4.00
11387.00,0.00,0.00,0.07,0.00,0.00,-8.37,0.00,0.00,-6599.05,0.00,0.00,-0.00,0.00,-0.00,-0.00,15.00
11402.00,0.00,0.00,0.10,0.00,0.00,1.74,0.00,0.00,673.57,0.00,0.00,-0.00,-0.00,0.00,-0.00,7.00
11409.00,0.00,0.00,0.03,0.00,0.00,-9.23,0.00,0.00,-1566.03,-0.00,0.00,-0.00,-0.00,0.00,0.00,9.00
11418.00,0.00,0.00,-0.01,0.00,0.00,-4.88,0.00,0.00,482.56,-0.00,0.00,-0.00,-0.00,-0.00,0.00,7.00
11425.00,0.00,0.00,0.05,0.00,0.00,9.24,0.00,0.00,2017.65,-0.00,0.00,-0.00,0.00,0.00,-0.00,5.00
11430.00,0.00,0.00,-0.04,0.00,0.00,-18.37,0.00,0.00,-5521.16,-0.00,0.00,-0.00,0.00,0.00,-0.00,6.00
11441.00,0.00,0.00,-0.03,0.00,0.00,1.20,0.00,0.00,1778.71,-0.00,0.00,-0.00,-0.00,-0.01,-0.00,9.00
