Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s), execution_time
12690.00,0.00,0.00,0.00,-0.05,-0.06,0.01,-3.12,-3.56,0.88,-0.00,0.00,0.00,-0.00,0.01,0.01,10.00
12705.00,-0.02,-0.01,-0.01,-0.05,-0.08,0.00,-0.13,-1.20,-0.67,-0.00,0.00,0.00,-0.01,0.01,0.02,19.00
12724.00,-0.02,-0.01,-0.01,-0.05,-0.08,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.01,0.01,0.01,10.00
12734.00,-0.02,-0.01,-0.01,-0.05,-0.08,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.01,-0.01,10.00
12744.00,-0.02,-0.01,-0.01,-0.05,-0.08,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.01,10.00
12754.00,-0.03,-0.01,-0.02,-0.01,-0.06,-0.00,4.50,1.50,-0.60,-0.00,0.00,0.00,0.01,-0.01,-0.02,18.00
12772.00,-0.03,-0.01,-0.02,-0.01,-0.06,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.01,-0.01,0.01,10.00
12782.00,-0.03,-0.01,-0.02,-0.01,-0.06,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.01,10.00
12792.00,-0.03,-0.01,-0.02,-0.01,-0.06,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.01,0.01,0.02,10.00
12802.00,-0.06,-0.02,-0.02,-0.03,-0.06,-0.01,-2.50,0.10,-0.90,-0.00,0.00,0.00,-0.01,0.01,0.01,17.00
12819.00,-0.06,-0.02,-0.02,-0.03,-0.06,-0.01,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.01,10.00
12834.00,-0.06,-0.02,-0.02,-0.03,-0.06,-0.01,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,-0.01,10.00
12844.00,-0.06,-0.02,-0.02,-0.03,-0.06,-0.01,0.00,0.00,0.00,-0.00,0.00,0.00,0.01,-0.01,-0.00,10.00
12854.00,-0.06,-0.02,-0.02,-0.03,-0.06,-0.01,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.00,10.00
12864.00,-0.08,-0.02,-0.03,-0.06,-0.10,-0.02,-3.20,-4.00,-1.20,-0.00,0.00,0.00,0.00,-0.00,0.01,17.00
12881.00,-0.08,-0.02,-0.03,-0.06,-0.10,-0.02,0.00,0.00,0.00,-0.00,0.00,0.00,-0.01,0.01,0.00,10.00
12891.00,-0.08,-0.02,-0.03,-0.06,-0.10,-0.02,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,10.00
12901.00,-0.08,-0.02,-0.03,-0.06,-0.10,-0.02,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,-0.00,10.00
12911.00,-0.09,-0.04,-0.03,-0.02,-0.16,-0.03,4.30,-6.00,-1.10,-0.00,0.00,0.00,0.01,-0.01,0.00,15.00
12926.00,-0.09,-0.04,-0.03,-0.02,-0.16,-0.03,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.00,10.00
12936.00,-0.09,-0.04,-0.03,-0.02,-0.16,-0.03,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,10.00
12951.00,-0.09,-0.04,-0.03,-0.02,-0.16,-0.03,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.01,0.01,10.00
12961.00,-0.09,-0.04,-0.03,-0.02,-0.16,-0.03,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.01,0.01,10.00
12971.00,-0.10,-0.05,-0.04,-0.01,-0.20,-0.04,1.20,-4.40,-0.50,-0.00,0.00,0.00,-0.00,-0.00,0.00,15.00
12986.00,-0.10,-0.05,-0.04,-0.01,-0.20,-0.04,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,-0.00,10.00
12996.00,-0.10,-0.05,-0.04,-0.01,-0.20,-0.04,0.00,0.00,0.00,-0.00,0.00,0.00,0.01,-0.01,-0.00,10.00
13006.00,-0.10,-0.07,-0.08,0.03,-0.10,-0.01,4.20,9.90,2.60,-0.00,-0.00,0.00,0.00,-0.00,-0.00,18.00
13024.00,-0.10,-0.07,-0.08,0.03,-0.10,-0.01,0.00,0.00,0.00,-0.00,0.00,0.00,-0.01,0.01,0.00,10.00
13034.00,-0.10,-0.07,-0.08,0.03,-0.10,-0.01,0.00,0.00,0.00,-0.00,0.00,0.00,-0.01,0.01,0.00,10.00
13044.00,-0.10,-0.07,-0.08,0.03,-0.10,-0.01,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,10.00
13054.00,-0.13,-0.07,-0.08,-0.07,-0.11,-0.02,-9.90,-0.70,-0.80,-0.00,0.00,0.00,0.00,-0.00,-0.00,18.00
13077.00,-0.13,-0.07,-0.08,-0.07,-0.11,-0.02,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.01,-0.00,10.00
13087.00,-0.13,-0.07,-0.08,-0.07,-0.11,-0.02,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,10.00
13097.00,-0.13,-0.07,-0.08,-0.07,-0.11,-0.02,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,10.00
13107.00,-0.17,-0.06,-0.07,-0.16,-0.09,-0.04,-9.50,2.60,-2.10,-0.00,-0.00,0.00,0.00,0.00,-0.00,17.00
13124.00,-0.17,-0.06,-0.07,-0.16,-0.09,-0.04,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,10.00
13134.00,-0.17,-0.06,-0.07,-0.16,-0.09,-0.04,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,10.00
13144.00,-0.17,-0.06,-0.07,-0.16,-0.09,-0.04,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,10.00
13154.00,-0.17,-0.06,-0.09,-0.02,0.01,-0.03,14.30,9.80,1.50,-0.00,-0.00,0.00,0.00,-0.00,-0.00,17.00
13171.00,-0.17,-0.06,-0.09,-0.02,0.01,-0.03,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.01,-0.00,-0.00,10.00
13181.00,-0.17,-0.06,-0.09,-0.02,0.01,-0.03,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,10.00
13196.00,-0.17,-0.06,-0.09,-0.02,0.01,-0.03,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.01,10.00
13206.00,-0.14,-0.10,-0.15,0.14,0.01,0.02,16.20,-0.40,4.50,-0.00,-0.00,0.00,-0.00,0.00,0.00,18.00
13224.00,-0.14,-0.10,-0.15,0.14,0.01,0.02,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,10.00
13234.00,-0.14,-0.10,-0.15,0.14,0.01,0.02,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,10.00
13244.00,-0.14,-0.10,-0.15,0.14,0.01,0.02,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,10.00
13254.00,-0.14,-0.10,-0.15,0.14,0.01,0.02,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,10.00
13264.00,-0.18,-0.08,-0.14,-0.00,0.02,0.00,-14.50,0.80,-1.50,-0.00,-0.00,0.00,0.00,0.00,0.00,17.00
13281.00,-0.18,-0.08,-0.14,-0.00,0.02,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,10.00
