Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s), execution_time
12718.00,0.00,0.00,0.00,-0.00,-0.05,0.02,-0.11,-2.37,1.21,-0.00,0.00,0.00,-0.00,0.00,0.00,10.00
12734.00,0.00,0.00,0.00,-0.00,-0.05,0.02,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,10.00
12744.00,0.00,0.00,0.00,-0.00,-0.05,0.02,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,10.00
12754.00,0.00,0.00,0.00,0.00,0.02,0.02,0.30,6.40,-0.10,-0.00,0.00,0.00,0.00,0.00,-0.00,16.00
12770.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,10.00
12780.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,10.00
12790.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,10.00
12800.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.30,-0.80,-0.00,-0.00,0.00,0.00,-0.00,0.00,17.00
12817.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,10.00
12827.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,10.00
12837.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,10.00
12852.00,0.00,0.00,0.01,0.01,0.04,0.01,0.53,0.87,-0.33,0.00,-0.00,0.00,0.00,0.00,0.00,17.00
12869.00,0.00,0.00,0.01,0.01,0.04,0.01,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,10.00
12879.00,0.00,0.00,0.01,0.01,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,10.00
12889.00,0.00,0.00,0.01,0.01,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
12899.00,0.00,0.00,0.01,-0.02,-0.03,-0.01,-3.30,-6.50,-1.60,0.00,0.00,0.00,0.00,0.00,0.00,19.00
12918.00,0.00,0.00,0.01,-0.02,-0.03,-0.01,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,10.00
12928.00,0.00,0.00,0.01,-0.02,-0.03,-0.01,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,10.00
12938.00,0.00,0.00,0.01,-0.02,-0.03,-0.01,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,10.00
12948.00,0.00,0.00,0.01,-0.00,-0.02,-0.01,2.10,1.00,-0.50,-0.00,0.00,-0.00,-0.00,-0.00,0.00,19.00
12967.00,0.00,0.00,0.01,-0.00,-0.02,-0.01,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,10.00
12982.00,0.00,0.00,0.01,-0.00,-0.02,-0.01,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,10.00
12992.00,0.00,0.00,0.01,-0.00,-0.02,-0.01,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,10.00
13002.00,0.00,0.01,0.01,-0.01,0.01,-0.02,-0.30,3.20,-0.40,-0.00,-0.00,0.00,-0.00,-0.00,0.00,17.00
13019.00,0.00,0.01,0.01,-0.01,0.01,-0.02,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,10.00
13029.00,0.00,0.01,0.01,-0.01,0.01,-0.02,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,10.00
13039.00,0.00,0.01,0.01,-0.01,0.01,-0.02,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,10.00
13049.00,0.00,0.01,0.01,0.04,0.02,-0.02,4.10,0.60,-0.40,-0.00,0.00,0.00,0.00,0.00,0.00,19.00
13068.00,0.00,0.01,0.01,0.04,0.02,-0.02,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,10.00
13078.00,0.00,0.01,0.01,0.04,0.02,-0.02,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,10.00
13088.00,0.00,0.01,0.01,0.04,0.02,-0.02,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,10.00
13102.00,0.00,0.01,0.01,-0.00,-0.01,-0.02,-2.57,-1.64,0.36,-0.00,-0.00,0.00,-0.00,-0.00,0.00,18.00
13120.00,0.00,0.01,0.01,-0.00,-0.01,-0.02,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,10.00
13130.00,0.00,0.01,0.01,-0.00,-0.01,-0.02,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,10.00
13140.00,0.00,0.01,0.02,-0.02,0.02,-0.01,-1.50,2.60,0.10,-0.00,-0.00,-0.00,0.00,-0.00,0.00,18.00
13158.00,0.00,0.01,0.02,-0.02,0.02,-0.01,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,10.00
13168.00,0.00,0.01,0.02,-0.02,0.02,-0.01,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,10.00
13178.00,0.00,0.01,0.02,-0.02,0.02,-0.01,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,10.00
13188.00,0.00,0.01,0.02,-0.02,0.02,-0.01,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,10.00
13198.00,0.00,0.01,0.01,0.01,0.01,-0.02,2.30,-1.30,-0.60,-0.00,-0.00,-0.00,0.00,-0.00,0.00,18.00
13216.00,0.00,0.01,0.01,0.01,0.01,-0.02,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,10.00
13230.00,0.00,0.01,0.01,0.01,0.01,-0.02,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,10.00
13240.00,0.00,0.01,0.01,0.01,0.01,-0.02,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,10.00
13250.00,0.00,0.01,0.02,0.01,-0.02,-0.02,0.20,-3.00,0.50,-0.00,-0.00,-0.00,0.00,-0.00,0.00,19.00
13269.00,0.00,0.01,0.02,0.01,-0.02,-0.02,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,10.00
13279.00,0.00,0.01,0.02,0.01,-0.02,-0.02,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,10.00
13289.00,0.00,0.01,0.01,-0.00,0.01,-0.02,-1.30,3.20,-0.50,-0.00,-0.00,0.00,0.00,0.00,0.00,16.00
13305.00,0.00,0.01,0.01,-0.00,0.01,-0.02,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,10.00
13315.00,0.00,0.01,0.01,-0.00,0.01,-0.02,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,10.00
13325.00,0.00,0.01,0.01,-0.00,0.01,-0.02,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,10.00
13335.00,0.00,0.01,0.01,-0.00,0.01,-0.02,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,10.00
13350.00,0.00,0.01,0.01,-0.01,0.04,-0.01,-0.27,2.07,0.60,-0.00,0.00,0.00,0.00,-0.00,0.00,19.00
13369.00,0.00,0.01,0.01,-0.01,0.04,-0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,10.00
13379.00,0.00,0.01,0.01,-0.01,0.04,-0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,10.00
13389.00,0.00,0.01,0.01,-0.01,0.04,-0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,10.00
13399.00,0.00,0.01,0.01,0.00,-0.02,-0.01,1.10,-5.80,0.60,-0.00,-0.00,0.00,0.00,0.00,-0.00,19.00
13418.00,0.00,0.01,0.01,0.00,-0.02,-0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,10.00
13428.00,0.00,0.01,0.01,0.00,-0.02,-0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,10.00
13438.00,0.00,0.01,0.01,0.00,-0.02,-0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,10.00
13448.00,0.00,0.01,0.01,0.03,-0.01,0.01,2.70,1.00,1.30,-0.00,-0.00,0.00,0.00,0.00,0.00,17.00
13465.00,0.00,0.01,0.01,0.03,-0.01,0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,10.00
13479.00,0.00,0.01,0.01,0.03,-0.01,0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,11.00
13490.00,0.00,0.01,0.01,0.03,-0.01,0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,10.00
13500.00,0.00,0.01,0.01,0.02,-0.02,0.01,-1.50,-1.70,0.40,-0.00,-0.00,0.00,-0.00,0.00,0.00,19.00
13519.00,0.00,0.01,0.01,0.02,-0.02,0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,10.00
13529.00,0.00,0.01,0.01,0.02,-0.02,0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.01,0.00,10.00
13539.00,0.00,0.01,0.01,0.02,-0.02,0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,10.00
13549.00,0.00,0.01,0.01,-0.02,0.00,0.00,-3.10,2.60,-1.10,-0.00,-0.00,0.00,-0.00,0.00,0.00,19.00
13568.00,0.00,0.01,0.01,-0.02,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,10.00
13578.00,0.00,0.01,0.01,-0.02,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,10.00
13588.00,0.00,0.01,0.01,-0.02,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,10.00
13603.00,0.00,0.01,0.01,0.01,0.03,0.00,1.80,2.07,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,18.00
13621.00,0.00,0.01,0.01,0.01,0.03,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,10.00
13631.00,0.00,0.01,0.01,0.01,0.03,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,10.00
13641.00,0.00,0.01,0.01,0.01,0.03,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,10.00
13651.00,0.00,0.01,0.01,0.01,0.01,0.01,-0.40,-2.30,0.50,-0.00,-0.00,0.00,-0.00,0.00,0.00,20.00
13671.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,10.00
13681.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,10.00
13691.00,0.00,0.00,0.01,-0.01,-0.01,0.00,-1.20,-2.10,-0.20,-0.00,-0.00,0.00,-0.00,0.00,0.00,17.00
13708.00,0.00,0.00,0.01,-0.01,-0.01,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,10.00
13718.00,0.00,0.00,0.01,-0.01,-0.01,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,10.00
13733.00,0.00,0.00,0.00,-0.01,-0.02,0.01,-0.53,-0.67,0.67,-0.00,-0.00,0.00,0.00,-0.00,0.00,17.00
13750.00,0.00,0.00,0.00,-0.01,-0.02,0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,10.00
13760.00,0.00,0.00,0.00,-0.01,-0.02,0.01,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,10.00
13770.00,0.00,0.00,0.00,-0.01,-0.02,0.01,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,10.00
13780.00,0.00,0.00,0.00,-0.01,-0.02,0.01,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,10.00
13790.00,0.01,0.01,0.00,0.01,0.00,0.02,2.40,2.10,0.70,0.00,-0.00,0.00,0.00,0.00,0.00,16.00
13806.00,0.01,0.01,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,10.00
